,npc_id,pc_role_id,npc_rarity,nts_raw,ots,dds,weapon_type,driver
0,NPC.Zoners_Tearjerker,NPC.Edgerunners_Flasher,Boss,1386.1699,16.8165,3440.1999,GrenadeLauncher,aac
1,NPC.Maelstrom_Crusher,NPC.Edgerunners_Flasher,HardenedBoss,1385.4231,1.2694,3461.6537,Flamethrower,aac
2,NPC.TygerClaws_ShinobuTheSecond,NPC.Edgerunners_Flasher,Boss,1382.3721,8.428,3443.2882,VeryHeavyMelee,aac
3,NPC.Maelstrom_Warlock,NPC.Edgerunners_Flasher,Boss,1380.5685,3.3633,3446.3764,Shotgun,aac
4,NPC.Bozos_Blammo,NPC.Edgerunners_Flasher,Boss,1379.4485,25.23,3410.7762,RocketLauncher,aac
5,NPC.Zoners_Vanisher,NPC.Edgerunners_Flasher,Boss,1376.8039,9.5291,3427.7161,HeavySMG,aac
6,NPC.Piranhas_BazookaJoe,NPC.Edgerunners_Flasher,Boss,1374.5715,1.7933,3433.7389,Brawling,aac
7,NPC.Bozos_BigTop,NPC.Edgerunners_Flasher,HardenedBoss,1369.9283,4.4546,3418.1388,HeavyMelee,aac
8,NPC.NCPD_Caliber,NPC.Edgerunners_Flasher,Boss,1365.4114,4.0734,3407.4185,AssaultRifle,aac
9,NPC.Piranhas_CorpseReviver,NPC.Edgerunners_Flasher,Boss,1361.886,8.1167,3392.5399,HeavyPistol,aac
