faction,n_pairs,n_unique_npcs,median_nts_raw,mean_nts_raw,std_nts_raw
TeamMonster,96,6,214.22,174.26,70.26
Piranhas,48,3,210.96,569.28,571.42
DangerGal,80,5,194.9,153.29,78.15
Zoners,160,10,194.4,249.4,387.74
Bozos,176,11,194.23,246.68,365.9
NCPD,176,11,193.28,200.6,266.11
Maelstrom,176,11,191.2,247.34,369.43
6thStreet,80,5,82.06,125.69,86.63
Sightseers,80,5,80.68,111.28,95.18
TygerClaws,144,9,79.06,237.93,410.81
TraumaTeam,96,6,78.9,121.26,82.5
Incident,32,2,40.16,100.91,91.2
Network54,48,3,30.34,30.95,3.46
DigitalDivas,80,5,26.09,35.0,31.78
GenerationRed,128,8,17.2,48.55,63.19
