,npc_id,npc_rarity,ots_mean,ots_std,ots_cv
7,NPC.Bozos_BurtTheSquirt,HardenedMook,2.0049,2.5245,1.2592
49,NPC.NCPD_Cherub,Tough,2.0049,2.5245,1.2592
8,NPC.Bozos_Centwit,Elite,2.2576,2.8384,1.2573
22,NPC.DigitalDivas_Firewall,Tough,2.2576,2.8384,1.2573
23,NPC.DigitalDivas_JoseQuispe,Tough,2.2576,2.8384,1.2573
72,NPC.TeamMonster_Nox,Elite,2.2576,2.8384,1.2573
66,NPC.Sightseers_Glare,Mook,1.5058,1.8917,1.2563
26,NPC.GenerationRed_Apex,HardenedMook,1.5058,1.8917,1.2563
87,NPC.Zoners_Alpha,Mook,1.5058,1.8917,1.2563
39,NPC.Maelstrom_Ghoul,Mook,1.5058,1.8917,1.2563
1,NPC.6thStreet_Breacher,Elite,1.5058,1.8917,1.2563
68,NPC.Sightseers_Swirl,Mook,1.5058,1.8917,1.2563
16,NPC.DangerGal_DocMittens,HardenedLieutenant,2.5109,3.1519,1.2553
64,NPC.Sightseers_Endo,Elite,2.5109,3.1519,1.2553
60,NPC.Network54_Stringer,Tough,2.5109,3.1519,1.2553
