,distinct
pc_role_id,16
pc_role,7
npc_id,100
faction,15
npc_name,100
npc_rarity,8
nts_raw,741
cm,1
ots,123
hpw_ss,16
edpr_ss,19
cts_ss,7
hpw_af,8
edpr_af,9
cts_af,1
has_autofire,2
weapon_type,14
is_excellent,2
attack_pool,13
af_pool,6
range_dv,4
def_static,9
def_ref,6
def_sp,3
dds,208
hpp,16
aac,112
dsr_hp,11
sp_raw,5
sp_capped,5
penetration_probability,18
pc_n_dice,4
body,11
will,7
clean_hp_raw,10
clean_death_save,11
clean_descriptor,84
clean_role_text,23
clean_weapon_count,3
clean_cyberware_count,12
clean_gear_text,84
