,null_rate,null_count
pc_role_id,0.0,0
pc_role,0.0,0
npc_id,0.0,0
faction,0.0,0
npc_name,0.0,0
npc_rarity,0.03,48
nts_raw,0.0,0
cm,0.0,0
ots,0.0,0
hpw_ss,0.0,0
edpr_ss,0.0,0
cts_ss,0.0,0
hpw_af,0.78,1248
edpr_af,0.78,1248
cts_af,0.78,1248
has_autofire,0.0,0
weapon_type,0.0,0
is_excellent,0.0,0
attack_pool,0.0,0
af_pool,0.78,1248
range_dv,0.0,0
def_static,0.0,0
def_ref,0.0,0
def_sp,0.0,0
dds,0.0,0
hpp,0.0,0
aac,0.0,0
dsr_hp,0.0,0
sp_raw,0.0,0
sp_capped,0.0,0
penetration_probability,0.0,0
pc_n_dice,0.0,0
body,0.0,0
will,0.0,0
clean_hp_raw,0.16,256
clean_death_save,0.19,304
clean_descriptor,0.16,256
clean_role_text,0.16,256
clean_weapon_count,0.16,256
clean_cyberware_count,0.16,256
clean_gear_text,0.16,256
