,nts_raw,nts_raw,nts_raw,ots,ots,ots,dds,dds,dds,n_pairs,n_unique_npcs
,mean,median,std,mean,median,std,mean,median,std,,
npc_rarity,,,,,,,,,,,
Mook,17.64,16.77,3.93,1.14,0.56,1.39,42.4,39.57,9.43,288,18
Tough,71.95,32.1,73.94,2.99,0.93,3.66,175.39,75.85,183.73,192,12
HardenedMook,74.54,50.43,57.84,2.37,0.73,3.25,182.81,125.38,143.61,160,10
HardenedLieutenant,155.13,195.19,81.88,2.82,2.11,2.65,383.59,483.82,205.08,128,8
Elite,172.52,210.77,70.1,3.39,1.56,3.84,426.23,514.25,175.23,528,33
HardenedMiniBoss,182.57,220.08,69.93,2.85,1.87,2.63,452.15,544.87,174.77,80,5
Boss,779.3,787.77,595.23,5.26,2.34,6.13,1940.36,1960.53,1489.1,144,9
HardenedBoss,784.3,793.51,602.44,1.13,0.86,1.32,1959.05,1982.51,1506.57,32,2
